Frequency (Hz) - Plot 0,X noise (V per root Hz) - Plot 0
10,1.31E-06
12.6,2.71E-06
15.8,2.99E-06
20,2.54E-06
25.1,1.93E-06
31.6,1.38E-06
39.8,9.61E-07
50.1,6.49E-07
63.1,4.36E-07
79.4,2.86E-07
100,2.11E-07
125.9,1.51E-07
158.5,1.11E-07
199.5,8.11E-08
251.2,5.90E-08
316.2,4.64E-08
398.1,3.76E-08
501.2,2.93E-08
631,2.26E-08
794.3,1.92E-08
1000,1.64E-08
1258.9,1.26E-08
1584.9,9.87E-09
1995.3,9.45E-09
2511.9,8.57E-09
3162.3,7.36E-09
3981.1,6.52E-09
5011.9,5.68E-09
6309.6,5.49E-09
7943.3,5.12E-09
10000,5.54E-09
12589.3,5.59E-09
15848.9,5.82E-09
19952.6,6.01E-09
25118.9,6.10E-09
31622.8,5.63E-09
39810.7,5.91E-09
50118.7,6.10E-09
63095.7,6.10E-09
79432.8,5.82E-09
100000,5.17E-09
