Frequency (Hz) - Plot 0,X noise (V per root Hz) - Plot 0
10,4.34E-06
12.6,4.30E-06
15.8,4.24E-06
20,4.12E-06
25.1,3.82E-06
31.6,3.29E-06
39.8,2.95E-06
50.1,2.37E-06
63.1,1.27E-06
79.4,6.58E-07
100,3.37E-07
125.9,1.70E-07
158.5,8.57E-08
199.5,4.33E-08
251.2,2.21E-08
316.2,1.23E-08
398.1,7.92E-09
501.2,6.95E-09
631,5.92E-09
794.3,5.75E-09
1000,5.72E-09
1258.9,5.62E-09
1584.9,5.75E-09
1995.3,5.56E-09
2511.9,5.54E-09
3162.3,5.64E-09
3981.1,5.27E-09
5011.9,5.24E-09
6309.6,5.45E-09
7943.3,5.64E-09
10000,5.64E-09
12589.3,5.43E-09
15848.9,5.39E-09
19952.6,5.66E-09
25118.9,5.50E-09
31622.8,5.37E-09
39810.7,5.62E-09
50118.7,5.55E-09
63095.7,5.45E-09
79432.8,5.45E-09
100000,5.88E-09
