Frequency (Hz) - Plot 0,X noise (V per root Hz) - Plot 0
10,4.03E-06
12.6,4.36E-06
15.8,4.32E-06
20,4.25E-06
25.1,4.13E-06
31.6,3.89E-06
39.8,3.40E-06
50.1,2.19E-06
63.1,1.18E-06
79.4,6.14E-07
100,3.23E-07
125.9,1.77E-07
158.5,1.16E-07
199.5,9.36E-08
251.2,9.12E-08
316.2,9.28E-08
398.1,8.90E-08
501.2,8.88E-08
631,8.71E-08
794.3,8.99E-08
1000,8.86E-08
1258.9,8.81E-08
1584.9,8.50E-08
1995.3,8.39E-08
2511.9,7.92E-08
3162.3,8.10E-08
3981.1,7.80E-08
5011.9,6.70E-08
6309.6,6.17E-08
7943.3,5.83E-08
10000,4.94E-08
12589.3,3.98E-08
15848.9,3.30E-08
19952.6,2.95E-08
25118.9,2.45E-08
31622.8,2.14E-08
39810.7,1.71E-08
50118.7,1.42E-08
63095.7,3.69E-08
79432.8,1.11E-08
100000,1.28E-08
