Frequency (Hz) - Plot 0,X noise (V per root Hz) - Plot 0
10,3.67E-06
12.6,4.34E-06
15.8,4.30E-06
20,4.23E-06
25.1,4.09E-06
31.6,3.83E-06
39.8,3.27E-06
50.1,2.03E-06
63.1,1.10E-06
79.4,5.76E-07
100,3.03E-07
125.9,1.69E-07
158.5,1.16E-07
199.5,9.66E-08
251.2,9.00E-08
316.2,9.42E-08
398.1,9.25E-08
501.2,9.47E-08
631,9.05E-08
794.3,9.11E-08
1000,9.48E-08
1258.9,9.28E-08
1584.9,8.91E-08
1995.3,9.55E-08
2511.9,1.01E-07
3162.3,9.74E-08
3981.1,9.39E-08
5011.9,9.74E-08
6309.6,9.90E-08
7943.3,9.04E-08
10000,7.04E-08
12589.3,4.72E-08
15848.9,3.51E-08
19952.6,3.03E-08
25118.9,2.53E-08
31622.8,2.64E-08
39810.7,2.17E-08
50118.7,2.27E-08
63095.7,1.76E-08
79432.8,1.15E-08
100000,1.24E-08
