Frequency (Hz) - Plot 0,X noise (V per root Hz) - Plot 0
10,3.74E-06
12.6,4.38E-06
15.8,4.35E-06
20,4.29E-06
25.1,4.18E-06
31.6,3.98E-06
39.8,3.58E-06
50.1,2.53E-06
63.1,1.40E-06
79.4,7.31E-07
100,3.92E-07
125.9,2.30E-07
158.5,1.72E-07
199.5,1.64E-07
251.2,1.49E-07
316.2,1.56E-07
398.1,1.54E-07
501.2,1.47E-07
631,1.53E-07
794.3,1.55E-07
1000,1.51E-07
1258.9,1.41E-07
1584.9,1.46E-07
1995.3,1.45E-07
2511.9,1.37E-07
3162.3,1.20E-07
3981.1,1.21E-07
5011.9,1.08E-07
6309.6,9.80E-08
7943.3,7.78E-08
10000,4.85E-08
12589.3,2.89E-08
15848.9,2.40E-08
19952.6,1.95E-08
25118.9,1.84E-08
31622.8,1.91E-08
39810.7,1.73E-08
50118.7,1.59E-08
63095.7,1.42E-08
79432.8,8.48E-09
100000,1.23E-08
