Frequency (Hz) - Plot 0,X noise (V per root Hz) - Plot 0
10,3.72E-06
12.6,4.35E-06
15.8,4.31E-06
20,4.24E-06
25.1,4.11E-06
31.6,3.87E-06
39.8,3.36E-06
50.1,2.16E-06
63.1,1.29E-06
79.4,6.45E-07
100,3.24E-07
125.9,2.05E-07
158.5,1.56E-07
199.5,1.05E-07
251.2,1.18E-07
316.2,1.08E-07
398.1,1.00E-07
501.2,1.03E-07
631,1.01E-07
794.3,1.02E-07
1000,9.04E-08
1258.9,9.45E-08
1584.9,8.52E-08
1995.3,8.56E-08
2511.9,7.26E-08
3162.3,6.74E-08
3981.1,6.82E-08
5011.9,5.07E-08
6309.6,4.14E-08
7943.3,3.90E-08
10000,4.71E-08
12589.3,1.89E-08
15848.9,1.24E-08
19952.6,1.15E-08
25118.9,1.37E-08
31622.8,1.55E-08
39810.7,1.52E-08
50118.7,1.11E-08
63095.7,6.80E-09
79432.8,7.93E-09
100000,1.15E-08
