Frequency (Hz) - Plot 0,X noise (V per root Hz) - Plot 0
10,3.72E-06
12.6,4.34E-06
15.8,4.31E-06
20,4.23E-06
25.1,4.09E-06
31.6,3.82E-06
39.8,3.27E-06
50.1,2.02E-06
63.1,1.09E-06
79.4,5.73E-07
100,3.09E-07
125.9,1.87E-07
158.5,1.49E-07
199.5,1.40E-07
251.2,1.24E-07
316.2,1.19E-07
398.1,1.27E-07
501.2,1.23E-07
631,1.35E-07
794.3,1.28E-07
1000,1.24E-07
1258.9,1.37E-07
1584.9,1.31E-07
1995.3,1.40E-07
2511.9,1.27E-07
3162.3,1.20E-07
3981.1,1.08E-07
5011.9,1.09E-07
6309.6,9.95E-08
7943.3,8.70E-08
10000,6.41E-08
12589.3,3.71E-08
15848.9,2.78E-08
19952.6,2.25E-08
25118.9,2.07E-08
31622.8,2.11E-08
39810.7,1.93E-08
50118.7,1.78E-08
63095.7,1.46E-08
79432.8,9.56E-09
100000,1.18E-08
