Frequency (Hz) - Plot 0,X noise (V per root Hz) - Plot 0
10,1.53E-06
12.6,3.23E-06
15.8,3.90E-06
20,4.13E-06
25.1,4.14E-06
31.6,4.02E-06
39.8,3.70E-06
50.1,2.94E-06
63.1,1.99E-06
79.4,1.22E-06
100,7.05E-07
125.9,3.94E-07
158.5,2.23E-07
199.5,1.34E-07
251.2,9.23E-08
316.2,7.61E-08
398.1,7.21E-08
501.2,7.28E-08
631,7.27E-08
794.3,6.51E-08
1000,6.21E-08
1258.9,6.04E-08
1584.9,6.37E-08
1995.3,6.50E-08
2511.9,6.17E-08
3162.3,6.03E-08
3981.1,6.97E-08
5011.9,6.15E-08
6309.6,5.85E-08
7943.3,5.43E-08
10000,5.43E-08
12589.3,4.94E-08
15848.9,4.48E-08
19952.6,3.83E-08
25118.9,3.24E-08
31622.8,2.99E-08
39810.7,2.66E-08
50118.7,2.21E-08
63095.7,1.90E-08
79432.8,1.68E-08
100000,1.68E-08
