Frequency (Hz) - Plot 0,X noise (V per root Hz) - Plot 0
10,1.70E-06
12.6,3.30E-06
15.8,3.93E-06
20,4.13E-06
25.1,4.14E-06
31.6,4.01E-06
39.8,3.69E-06
50.1,2.93E-06
63.1,1.98E-06
79.4,1.20E-06
100,6.97E-07
125.9,3.86E-07
158.5,2.12E-07
199.5,1.16E-07
251.2,6.08E-08
316.2,3.52E-08
398.1,2.05E-08
501.2,1.45E-08
631,1.10E-08
794.3,7.87E-09
1000,7.15E-09
1258.9,6.80E-09
1584.9,6.59E-09
1995.3,6.33E-09
2511.9,6.31E-09
3162.3,6.61E-09
3981.1,6.08E-09
5011.9,6.03E-09
6309.6,5.73E-09
7943.3,5.52E-09
10000,5.80E-09
12589.3,5.77E-09
15848.9,5.52E-09
19952.6,5.49E-09
25118.9,5.75E-09
31622.8,5.94E-09
39810.7,5.61E-09
50118.7,5.54E-09
63095.7,5.84E-09
79432.8,5.24E-09
100000,5.26E-09
