Frequency (Hz) - Plot 0,X noise (V per root Hz) - Plot 0
10,1.75E-06
12.6,3.31E-06
15.8,3.93E-06
20,4.14E-06
25.1,4.15E-06
31.6,4.01E-06
39.8,3.70E-06
50.1,2.94E-06
63.1,1.99E-06
79.4,1.21E-06
100,7.08E-07
125.9,4.03E-07
158.5,2.35E-07
199.5,1.55E-07
251.2,1.17E-07
316.2,1.02E-07
398.1,9.06E-08
501.2,9.11E-08
631,9.44E-08
794.3,9.66E-08
1000,8.13E-08
1258.9,8.96E-08
1584.9,9.29E-08
1995.3,9.03E-08
2511.9,8.88E-08
3162.3,8.44E-08
3981.1,7.74E-08
5011.9,7.31E-08
6309.6,6.92E-08
7943.3,6.81E-08
10000,6.21E-08
12589.3,5.19E-08
15848.9,4.13E-08
19952.6,3.46E-08
25118.9,2.95E-08
31622.8,2.55E-08
39810.7,2.06E-08
50118.7,1.60E-08
63095.7,1.46E-08
79432.8,1.29E-08
100000,1.56E-08
