Frequency (Hz) - Plot 0,X noise (V per root Hz) - Plot 0
10,3.60E-07
12.6,6.77E-07
15.8,8.06E-07
20,8.54E-07
25.1,8.72E-07
31.6,8.72E-07
39.8,8.62E-07
50.1,8.41E-07
63.1,7.94E-07
79.4,6.90E-07
100,5.03E-07
125.9,3.15E-07
158.5,1.82E-07
199.5,1.04E-07
251.2,5.81E-08
316.2,3.37E-08
398.1,2.22E-08
501.2,1.57E-08
631,1.22E-08
794.3,9.53E-09
1000,8.26E-09
1258.9,7.12E-09
1584.9,6.66E-09
1995.3,5.81E-09
2511.9,5.49E-09
3162.3,6.11E-09
3981.1,5.65E-09
5011.9,5.04E-09
6309.6,6.09E-09
7943.3,6.03E-09
10000,5.68E-09
12589.3,5.57E-09
15848.9,5.53E-09
19952.6,5.08E-09
25118.9,5.05E-09
31622.8,5.52E-09
39810.7,5.70E-09
50118.7,5.29E-09
63095.7,5.81E-09
79432.8,5.85E-09
100000,6.07E-09
