Frequency (Hz) - Plot 0,X noise (V per root Hz) - Plot 0
10,1.26E-08
12.6,1.84E-08
15.8,2.08E-08
20,2.17E-08
25.1,2.21E-08
31.6,2.22E-08
39.8,2.23E-08
50.1,2.23E-08
63.1,2.23E-08
79.4,2.22E-08
100,2.21E-08
125.9,2.19E-08
158.5,2.15E-08
199.5,2.06E-08
251.2,1.85E-08
316.2,1.51E-08
398.1,1.17E-08
501.2,8.92E-09
631,7.62E-09
794.3,6.72E-09
1000,6.34E-09
1258.9,6.42E-09
1584.9,6.11E-09
1995.3,5.66E-09
2511.9,5.57E-09
3162.3,5.79E-09
3981.1,5.24E-09
5011.9,5.13E-09
6309.6,5.43E-09
7943.3,6.26E-09
10000,5.62E-09
12589.3,5.44E-09
15848.9,5.64E-09
19952.6,5.44E-09
25118.9,5.64E-09
31622.8,5.66E-09
39810.7,6.28E-09
50118.7,5.73E-09
63095.7,5.59E-09
79432.8,5.66E-09
100000,5.67E-09
