Frequency (Hz) - Plot 0,X noise (V per root Hz) - Plot 0
10,4.01E-06
12.6,4.36E-06
15.8,4.32E-06
20,4.25E-06
25.1,4.13E-06
31.6,3.89E-06
39.8,3.41E-06
50.1,2.21E-06
63.1,1.19E-06
79.4,6.19E-07
100,3.22E-07
125.9,1.70E-07
158.5,9.83E-08
199.5,7.30E-08
251.2,6.39E-08
316.2,6.57E-08
398.1,6.48E-08
501.2,6.39E-08
631,6.40E-08
794.3,6.64E-08
1000,6.37E-08
1258.9,6.11E-08
1584.9,6.00E-08
1995.3,6.30E-08
2511.9,5.91E-08
3162.3,6.12E-08
3981.1,5.74E-08
5011.9,5.88E-08
6309.6,5.57E-08
7943.3,5.45E-08
10000,4.96E-08
12589.3,4.64E-08
15848.9,4.00E-08
19952.6,3.56E-08
25118.9,2.99E-08
31622.8,2.63E-08
39810.7,2.14E-08
50118.7,1.81E-08
63095.7,1.46E-08
79432.8,1.28E-08
100000,1.47E-08
