Frequency (Hz) - Plot 0,X noise (V per root Hz) - Plot 0
10,1.23E-05
12.6,2.51E-05
15.8,2.76E-05
20,2.38E-05
25.1,1.77E-05
31.6,1.19E-05
39.8,7.57E-06
50.1,4.57E-06
63.1,2.64E-06
79.4,1.47E-06
100,8.06E-07
125.9,4.34E-07
158.5,2.28E-07
199.5,1.21E-07
251.2,6.28E-08
316.2,3.39E-08
398.1,1.83E-08
501.2,1.25E-08
631,9.13E-09
794.3,5.96E-09
1000,5.59E-09
1258.9,4.28E-09
1584.9,3.73E-09
1995.3,3.73E-09
2511.9,3.73E-09
3162.3,3.73E-09
3981.1,3.73E-09
5011.9,3.73E-09
6309.6,3.73E-09
7943.3,3.73E-09
10000,3.73E-09
12589.3,3.73E-09
15848.9,3.73E-09
19952.6,3.73E-09
25118.9,3.73E-09
31622.8,3.73E-09
39810.7,3.73E-09
50118.7,3.73E-09
63095.7,3.73E-09
79432.8,3.73E-09
100000,3.73E-09
