Frequency (Hz) - Plot 0,X noise (V per root Hz) - Plot 0
10,4.47E-08
12.6,4.47E-08
15.8,4.47E-08
20,4.47E-08
25.1,4.46E-08
31.6,4.46E-08
39.8,4.46E-08
50.1,4.45E-08
63.1,4.45E-08
79.4,4.43E-08
100,4.39E-08
125.9,4.31E-08
158.5,4.15E-08
199.5,3.82E-08
251.2,3.09E-08
316.2,2.17E-08
398.1,1.45E-08
501.2,1.15E-08
631,9.37E-09
794.3,7.78E-09
1000,6.75E-09
1258.9,5.82E-09
1584.9,5.72E-09
1995.3,5.58E-09
2511.9,5.72E-09
3162.3,6.00E-09
3981.1,6.63E-09
5011.9,6.42E-09
6309.6,6.10E-09
7943.3,6.16E-09
10000,6.55E-09
12589.3,6.06E-09
15848.9,5.65E-09
19952.6,6.16E-09
25118.9,6.28E-09
31622.8,6.51E-09
39810.7,6.15E-09
50118.7,6.16E-09
63095.7,6.60E-09
79432.8,6.79E-09
100000,6.14E-09
