Frequency (Hz) - Plot 0,X noise (V per root Hz) - Plot 0
10,2.08E-08
12.6,3.51E-08
15.8,4.09E-08
20,4.32E-08
25.1,4.41E-08
31.6,4.44E-08
39.8,4.45E-08
50.1,4.44E-08
63.1,4.43E-08
79.4,4.40E-08
100,4.35E-08
125.9,4.24E-08
158.5,4.02E-08
199.5,3.51E-08
251.2,2.60E-08
316.2,1.83E-08
398.1,1.21E-08
501.2,9.63E-09
631,8.97E-09
794.3,7.56E-09
1000,6.73E-09
1258.9,5.74E-09
1584.9,5.68E-09
1995.3,5.99E-09
2511.9,6.06E-09
3162.3,5.87E-09
3981.1,5.66E-09
5011.9,5.95E-09
6309.6,5.85E-09
7943.3,5.45E-09
10000,5.33E-09
12589.3,5.16E-09
15848.9,5.75E-09
19952.6,5.23E-09
25118.9,5.24E-09
31622.8,5.05E-09
39810.7,5.47E-09
50118.7,5.75E-09
63095.7,5.30E-09
79432.8,5.19E-09
100000,6.06E-09
