Frequency (Hz) - Plot 0,X noise (V per root Hz) - Plot 0
10,1.50E-06
12.6,2.24E-06
15.8,2.37E-06
20,2.38E-06
25.1,2.37E-06
31.6,2.36E-06
39.8,2.35E-06
50.1,2.32E-06
63.1,2.27E-06
79.4,2.18E-06
100,1.97E-06
125.9,1.47E-06
158.5,9.17E-07
199.5,5.13E-07
251.2,2.71E-07
316.2,1.41E-07
398.1,7.34E-08
501.2,4.00E-08
631,2.12E-08
794.3,1.24E-08
1000,7.70E-09
1258.9,6.85E-09
1584.9,6.36E-09
1995.3,6.72E-09
2511.9,6.44E-09
3162.3,5.88E-09
3981.1,5.69E-09
5011.9,4.89E-09
6309.6,5.11E-09
7943.3,5.25E-09
10000,5.15E-09
12589.3,5.67E-09
15848.9,5.52E-09
19952.6,5.44E-09
25118.9,5.58E-09
31622.8,5.36E-09
39810.7,5.48E-09
50118.7,5.36E-09
63095.7,5.22E-09
79432.8,5.30E-09
100000,6.12E-09
