Frequency (Hz) - Plot 0,X noise (V per root Hz) - Plot 0
10,7.93E-09
12.6,1.07E-08
15.8,1.25E-08
20,1.36E-08
25.1,1.43E-08
31.6,1.47E-08
39.8,1.50E-08
50.1,1.51E-08
63.1,1.51E-08
79.4,1.48E-08
100,1.42E-08
125.9,1.31E-08
158.5,1.14E-08
199.5,1.02E-08
251.2,9.16E-09
316.2,7.86E-09
398.1,7.83E-09
501.2,7.72E-09
631,6.94E-09
794.3,7.01E-09
1000,6.86E-09
1258.9,6.15E-09
1584.9,6.09E-09
1995.3,5.95E-09
2511.9,5.71E-09
3162.3,6.33E-09
3981.1,6.07E-09
5011.9,5.62E-09
6309.6,6.17E-09
7943.3,5.71E-09
10000,5.22E-09
12589.3,5.77E-09
15848.9,5.72E-09
19952.6,6.02E-09
25118.9,5.70E-09
31622.8,5.53E-09
39810.7,5.46E-09
50118.7,5.41E-09
63095.7,5.61E-09
79432.8,5.95E-09
100000,6.31E-09
