Frequency (Hz) - Plot 0,X noise (V per root Hz) - Plot 0
10,6.69E-09
12.6,8.04E-09
15.8,8.59E-09
20,8.80E-09
25.1,8.88E-09
31.6,8.91E-09
39.8,8.91E-09
50.1,8.93E-09
63.1,8.93E-09
79.4,8.91E-09
100,8.89E-09
125.9,8.86E-09
158.5,8.80E-09
199.5,8.69E-09
251.2,8.38E-09
316.2,7.75E-09
398.1,6.88E-09
501.2,6.29E-09
631,5.48E-09
794.3,5.30E-09
1000,4.95E-09
1258.9,5.01E-09
1584.9,5.02E-09
1995.3,5.30E-09
2511.9,5.01E-09
3162.3,4.82E-09
3981.1,4.74E-09
5011.9,4.64E-09
6309.6,4.98E-09
7943.3,5.04E-09
10000,4.93E-09
12589.3,4.98E-09
15848.9,5.35E-09
19952.6,5.40E-09
25118.9,4.89E-09
31622.8,5.13E-09
39810.7,5.17E-09
50118.7,5.05E-09
63095.7,4.98E-09
79432.8,4.81E-09
100000,4.90E-09
