Frequency (Hz) - Plot 0,X noise (V per root Hz) - Plot 0
10,1.80E-07
12.6,3.39E-07
15.8,4.05E-07
20,4.30E-07
25.1,4.38E-07
31.6,4.40E-07
39.8,4.39E-07
50.1,4.34E-07
63.1,4.22E-07
79.4,4.00E-07
100,3.50E-07
125.9,2.53E-07
158.5,1.58E-07
199.5,9.32E-08
251.2,5.46E-08
316.2,3.05E-08
398.1,1.77E-08
501.2,1.14E-08
631,8.51E-09
794.3,6.83E-09
1000,7.43E-09
1258.9,7.31E-09
1584.9,6.62E-09
1995.3,6.70E-09
2511.9,6.22E-09
3162.3,5.68E-09
3981.1,5.48E-09
5011.9,5.46E-09
6309.6,5.35E-09
7943.3,5.29E-09
10000,5.46E-09
12589.3,5.31E-09
15848.9,5.86E-09
19952.6,6.05E-09
25118.9,5.30E-09
31622.8,5.67E-09
39810.7,5.29E-09
50118.7,5.15E-09
63095.7,5.22E-09
79432.8,5.15E-09
100000,5.60E-09
