Frequency (Hz) - Plot 0,X noise (V per root Hz) - Plot 0
10,2.48E-08
12.6,3.67E-08
15.8,4.16E-08
20,4.35E-08
25.1,4.42E-08
31.6,4.45E-08
39.8,4.46E-08
50.1,4.46E-08
63.1,4.44E-08
79.4,4.42E-08
100,4.39E-08
125.9,4.35E-08
158.5,4.34E-08
199.5,4.26E-08
251.2,4.30E-08
316.2,4.31E-08
398.1,4.21E-08
501.2,4.17E-08
631,3.97E-08
794.3,3.98E-08
1000,3.93E-08
1258.9,3.92E-08
1584.9,3.72E-08
1995.3,3.71E-08
2511.9,3.51E-08
3162.3,3.37E-08
3981.1,3.09E-08
5011.9,2.63E-08
6309.6,2.31E-08
7943.3,2.04E-08
10000,1.76E-08
12589.3,1.57E-08
15848.9,1.33E-08
19952.6,1.09E-08
25118.9,8.29E-09
31622.8,5.84E-09
39810.7,5.19E-09
50118.7,5.26E-09
63095.7,4.09E-09
79432.8,6.02E-09
100000,9.71E-09
