Frequency (Hz) - Plot 0,X noise (V per root Hz) - Plot 0
10,2.13E-08
12.6,3.53E-08
15.8,4.11E-08
20,4.33E-08
25.1,4.41E-08
31.6,4.45E-08
39.8,4.45E-08
50.1,4.44E-08
63.1,4.44E-08
79.4,4.42E-08
100,4.38E-08
125.9,4.31E-08
158.5,4.15E-08
199.5,3.80E-08
251.2,3.05E-08
316.2,2.12E-08
398.1,1.42E-08
501.2,1.03E-08
631,8.04E-09
794.3,7.50E-09
1000,6.31E-09
1258.9,6.24E-09
1584.9,6.57E-09
1995.3,6.42E-09
2511.9,6.12E-09
3162.3,5.97E-09
3981.1,5.65E-09
5011.9,6.14E-09
6309.6,6.24E-09
7943.3,6.05E-09
10000,5.93E-09
12589.3,5.92E-09
15848.9,5.70E-09
19952.6,5.73E-09
25118.9,5.41E-09
31622.8,5.77E-09
39810.7,6.26E-09
50118.7,6.06E-09
63095.7,6.20E-09
79432.8,6.68E-09
100000,5.82E-09
