Frequency (Hz) - Plot 0,X noise (V per root Hz) - Plot 0
10,7.71E-08
12.6,7.72E-08
15.8,7.72E-08
20,7.71E-08
25.1,7.68E-08
31.6,7.63E-08
39.8,7.51E-08
50.1,7.30E-08
63.1,6.86E-08
79.4,5.91E-08
100,4.75E-08
125.9,3.65E-08
158.5,2.86E-08
199.5,2.25E-08
251.2,1.83E-08
316.2,1.47E-08
398.1,1.28E-08
501.2,1.14E-08
631,1.05E-08
794.3,9.29E-09
1000,8.22E-09
1258.9,7.48E-09
1584.9,7.13E-09
1995.3,6.55E-09
2511.9,5.94E-09
3162.3,5.67E-09
3981.1,5.98E-09
5011.9,5.90E-09
6309.6,5.74E-09
7943.3,5.59E-09
10000,5.85E-09
12589.3,5.40E-09
15848.9,5.73E-09
19952.6,6.25E-09
25118.9,5.76E-09
31622.8,6.01E-09
39810.7,5.88E-09
50118.7,5.66E-09
63095.7,4.95E-09
79432.8,5.00E-09
100000,5.03E-09
